prediction;test_price
43.54;46.46
43.77;46.45
44.48;45.7
44.71;45.72
44.15;45.27
44.02;45.63
43.64;45.69
43.94;45.69
43.67;46.07
43.42;45.5
43.67;45.54
43.36;45.72
43.33;46.76
43.73;47.75
44.45;47.63
45.42;47.43
45.23;47.47
45.04;47.6
45.0;48.43
45.2;48.2
45.65;48.01
45.57;47.78
45.39;48.52
45.18;48.48
45.67;48.56
46.06;48.72
46.13;48.37
46.25;47.82
45.94;48.41
45.49;48.13
45.58;47.94
45.79;47.54
45.82;48.31
45.23;48.45
45.59;48.77
46.05;48.18
46.27;47.42
46.09;47.15
45.13;46.35
44.64;46.58
44.01;46.76
44.06;47.17
44.25;48.14
44.34;48.26
44.93;47.78
45.18;47.68
44.85;46.73
44.91;46.63
44.52;46.27
43.98;46.11
43.59;45.22
43.44;45.83
43.01;45.9
43.1;46.33
42.99;46.47
43.27;46.11
43.4;46.07
43.25;43.33
43.16;43.69
41.6;44.15
41.16;43.43
41.35;43.7
41.13;43.66
41.23;44.11
41.27;44.6
41.57;44.82
41.76;45.35
41.97;45.14
41.96;44.74
41.91;45.3
41.71;45.78
41.96;45.72
42.39;45.38
42.65;45.39
42.56;45.66
42.17;45.86
42.32;46.03
42.41;46.09
42.45;46.25
42.44;46.4
42.89;45.91
43.17;45.5
42.87;46.07
42.35;46.95
42.76;46.68
42.97;47.61
42.92;46.74
43.77;46.63
43.53;46.6
43.36;46.3
43.45;45.95
42.96;46.54
42.88;47.77
43.0;47.87
43.86;48.79
44.04;47.65
44.44;47.45
43.94;47.47
43.53;47.48
43.54;47.28
43.72;47.29
43.85;47.76
43.67;48.17
43.9;48.99
44.32;48.93
44.93;49.29
44.98;50.43
45.02;50.43
45.84;50.83
45.87;50.82
46.3;50.47
46.78;50.28
46.49;50.37
46.34;51.03
46.32;50.39
46.65;50.75
46.43;50.97
46.6;50.82
46.6;51.1
46.42;51.18
46.48;51.37
46.79;51.38
46.99;51.3
47.18;51.98
47.14;52.1
47.68;51.04
47.66;50.64
47.07;50.71
46.75;50.1
46.67;50.39
46.58;50.93
46.52;51.03
46.85;51.72
46.79;52.16
47.12;52.8
47.48;52.69
47.78;52.65
47.93;53.65
48.02;53.9
48.37;53.39
48.71;53.6
48.76;53.98
48.77;53.83
48.91;53.12
48.65;52.64
48.44;53.23
47.87;52.64
47.86;53.08
47.64;52.54
47.68;52.94
47.51;52.79
47.74;53.1
48.02;52.99
48.14;53.71
48.15;53.52
48.73;53.83
48.62;53.94
48.93;54.98
49.13;55.28
50.08;56.19
50.35;56.6
50.86;56.6
51.06;55.04
51.05;56.79
50.07;56.72
50.85;56.08
51.17;57.55
50.59;57.97
51.2;58.51
51.68;57.9
52.13;57.96
52.02;57.84
51.81;58.89
51.67;58.74
52.39;59.09
52.47;59.71
52.58;60.57
52.72;60.82
53.47;61.76
53.73;61.69
54.56;62.32
54.77;62.82
55.39;62.93
55.76;63.07
55.73;63.26
55.6;62.14
55.61;62.24
54.93;61.81
54.9;61.54
54.48;61.29
54.07;60.98
53.65;61.22
53.69;62.34
53.89;61.94
54.53;60.43
54.83;58.97
53.82;59.64
52.77;60.15
52.61;59.0
53.08;59.02
52.69;60.62
52.43;59.67
53.22;59.64
53.34;58.88
52.96;60.11
52.73;59.64
53.28;60.28
52.91;61.03
52.82;60.14
53.18;57.94
52.73;58.64
51.76;58.37
51.85;58.49
51.76;59.09
51.72;59.57
52.26;59.03
52.43;59.76
51.95;59.14
52.05;59.46
51.68;59.66
51.63;60.49
52.04;60.71
53.14;60.68
53.32;62.24
53.45;62.61
54.35;61.63
54.65;60.79
54.08;61.1
53.51;61.53
53.51;60.91
53.51;60.2
53.38;60.25
52.68;60.43
52.64;60.34
52.69;60.74
52.82;60.4
52.9;60.0
52.63;60.43
52.38;61.1
52.74;62.17
53.15;61.72
53.91;62.68
53.82;61.61
54.27;61.46
53.79;60.51
53.68;59.76
53.05;59.81
52.28;59.79
52.04;58.31
52.05;58.12
51.26;57.8
50.98;57.85
51.37;57.15
51.47;57.62
50.82;57.7
50.89;57.35
50.9;56.73
50.27;56.84
50.22;57.1
50.2;56.86
50.44;56.96
50.35;57.13
50.68;57.3
50.87;57.39
51.11;57.57
50.96;58.73
51.08;59.77
51.31;61.22
52.41;62.34
53.44;62.58
54.32;62.61
54.64;62.73
54.87;61.43
54.95;60.77
54.34;60.53
53.77;60.13
53.22;60.25
52.35;60.99
52.24;60.94
52.73;60.28
52.77;60.6
52.4;60.65
52.45;59.85
52.34;61.04
51.56;60.38
51.78;59.83
51.93;59.44
51.62;61.3
51.51;61.89
52.2;62.47
52.95;62.11
53.32;62.02
53.23;62.09
52.97;62.77
52.8;63.2
52.86;64.5
53.31;63.68
53.79;64.55
53.56;64.74
53.86;64.5
54.28;64.43
53.99;64.01
54.18;64.12
54.12;64.51
54.22;64.32
54.71;64.36
54.37;64.5
54.05;62.77
53.91;64.11
53.34;63.88
53.63;63.35
53.76;64.47
53.74;65.45
54.53;65.44
55.16;64.97
55.58;64.61
55.4;64.72
55.23;65.38
54.93;65.62
55.16;65.19
55.58;66.54
55.22;66.16
55.6;65.94
55.82;66.29
55.3;65.34
55.23;65.41
54.68;65.65
54.73;66.8
54.92;66.47
55.51;66.9
55.67;65.92
55.58;65.89
54.9;65.88
54.74;66.73
55.01;66.87
55.21;68.33
55.39;69.05
56.22;68.51
56.63;69.35
56.63;69.89
57.05;70.62
57.7;70.36
58.12;72.14
57.98;72.3
58.72;72.18
59.35;72.03
59.03;71.75
58.85;72.24
58.68;71.18
58.83;70.88
58.47;71.34
58.37;69.34
58.29;70.45
57.38;70.29
57.55;70.23
57.49;70.01
57.26;70.22
57.58;71.27
57.8;70.78
58.24;68.82
58.17;68.37
57.12;68.97
56.25;67.5
56.41;69.29
55.97;68.71
56.33;66.23
56.23;67.24
55.13;67.91
54.88;71.51
55.26;71.61
57.19;72.92
57.9;73.62
58.57;73.73
58.99;73.72
59.36;74.98
59.34;75.31
59.73;74.64
60.14;74.94
59.9;75.83
59.41;76.4
60.01;75.91
60.48;75.78
60.39;76.16
59.92;76.47
59.74;75.2
60.14;77.33
59.67;78.24
60.31;78.87
61.07;77.8
61.59;77.57
60.98;76.7
60.98;77.01
60.5;75.64
60.21;75.77
59.76;77.02
59.62;77.59
59.94;76.2
60.62;76.47
60.05;76.04
59.96;75.22
59.59;75.28
59.22;74.4
59.2;74.27
58.96;74.75
59.14;75.77
59.4;77.19
59.64;77.29
60.66;77.31
61.37;76.11
61.44;74.88
60.92;75.3
59.57;76.15
59.15;73.35
59.58;72.88
58.69;73.45
58.08;73.49
58.33;74.71
58.17;75.7
58.89;74.86
59.71;75.19
59.53;75.25
59.64;75.32
59.75;74.03
59.59;73.61
59.16;74.42
59.14;75.08
59.95;75.29
60.32;76.0
61.01;76.86
61.46;76.68
61.64;75.98
61.72;77.22
61.72;77.55
61.83;78.0
62.07;77.68
62.28;76.58
61.77;75.85
60.61;76.08
60.05;76.7
60.28;76.74
60.43;77.78
60.21;77.93
60.57;78.85
60.41;79.25
60.84;79.11
61.59;79.52
61.24;79.5
61.07;79.75
60.75;79.38
61.47;79.72
61.88;80.23
61.89;80.07
62.04;80.89
62.27;80.2
62.15;79.79
61.93;78.36
62.21;78.36
61.61;78.83
61.03;78.7
61.4;79.09
61.5;79.27
61.52;78.38
62.07;78.32
61.7;78.24
61.36;79.4
61.16;79.92
62.18;80.72
62.65;81.14
63.02;81.83
63.11;81.8
63.47;82.18
63.47;81.94
63.67;81.25
63.51;82.54
63.09;82.2
63.71;82.23
63.69;82.1
63.82;81.53
63.86;80.77
63.53;80.47
62.79;81.21
62.75;81.14
62.34;81.58
62.1;81.42
62.22;82.14
62.33;81.6
62.5;82.47
62.78;81.57
62.77;82.53
61.99;81.27
61.87;80.8
61.39;82.56
60.72;82.09
61.43;81.94
61.24;80.92
60.96;82.19
60.24;82.8
60.75;82.53
61.56;82.9
61.38;83.85
61.69;84.49
62.05;85.14
63.05;85.26
63.58;85.02
63.56;85.53
64.09;85.63
64.44;85.53
64.52;85.19
64.47;85.52
64.38;85.39
64.17;85.06
63.72;85.93
63.1;86.06
63.2;85.3
63.58;86.06
63.71;85.7
64.14;84.79
63.76;84.72
63.25;85.14
62.88;84.86
63.46;85.25
63.2;85.43
63.21;85.48
63.34;85.49
63.31;85.63
63.23;84.5
62.96;83.57
62.6;84.65
62.02;83.34
62.08;83.98
61.68;84.06
62.02;84.25
62.24;82.79
62.58;82.13
62.15;83.7
61.38;83.81
61.97;82.44
62.39;83.38
62.09;81.11
62.39;81.64
61.21;79.41
60.93;79.62
